Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (26422293),Giannis Antetokounmpo,26422293,PF/C/F/UTIL,12200,IND@MIL 01/16/2023 02:30PM ET,MIL,56.97
SF/PF,Jayson Tatum (26422297),Jayson Tatum,26422297,SF/PF/F/UTIL,10900,BOS@CHA 01/16/2023 01:00PM ET,BOS,52.02
PG,LaMelo Ball (26422301),LaMelo Ball,26422301,PG/G/UTIL,9500,BOS@CHA 01/16/2023 01:00PM ET,CHA,47.95
PG,Tyrese Haliburton (26422304),Tyrese Haliburton,26422304,PG/G/UTIL,9200,IND@MIL 01/16/2023 02:30PM ET,IND,45.79
SG/SF,Jaylen Brown (26422307),Jaylen Brown,26422307,SG/SF/F/G/UTIL,9000,BOS@CHA 01/16/2023 01:00PM ET,BOS,43.99
PG,Jrue Holiday (26422312),Jrue Holiday,26422312,PG/G/UTIL,8200,IND@MIL 01/16/2023 02:30PM ET,MIL,38.95
PG/SG,Terry Rozier (26422315),Terry Rozier,26422315,PG/SG/G/UTIL,7300,BOS@CHA 01/16/2023 01:00PM ET,CHA,36.03
SG/SF,Kelly Oubre Jr. (26422319),Kelly Oubre Jr.,26422319,SG/SF/F/G/UTIL,7100,BOS@CHA 01/16/2023 01:00PM ET,CHA,32.85
C,Myles Turner (26422324),Myles Turner,26422324,C/UTIL,7000,IND@MIL 01/16/2023 02:30PM ET,IND,35.2
PG/SG,Marcus Smart (26422326),Marcus Smart,26422326,PG/SG/G/UTIL,6900,BOS@CHA 01/16/2023 01:00PM ET,BOS,29.90
SF,Khris Middleton (26422330),Khris Middleton,26422330,SF/F/UTIL,6800,IND@MIL 01/16/2023 02:30PM ET,MIL,22.43
PF/C,Bobby Portis (26422333),Bobby Portis,26422333,PF/C/F/UTIL,6700,IND@MIL 01/16/2023 02:30PM ET,MIL,31.48
SG/SF,Buddy Hield (26422337),Buddy Hield,26422337,SG/SF/F/G/UTIL,6600,IND@MIL 01/16/2023 02:30PM ET,IND,31.72
C,Mason Plumlee (26422342),Mason Plumlee,26422342,C/UTIL,6400,BOS@CHA 01/16/2023 01:00PM ET,CHA,31.38
PG/SG,Malcolm Brogdon (26422344),Malcolm Brogdon,26422344,PG/SG/G/UTIL,6200,BOS@CHA 01/16/2023 01:00PM ET,BOS,26.69
