Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (21603175),Nikola Jokic,21603175,C/UTIL,12600,DEN@SAC 03/09/2022 10:00PM ET,DEN,60.75
PG,Luka Doncic (21603177),Luka Doncic,21603177,PG/G/UTIL,12300,NYK@DAL 03/09/2022 08:30PM ET,DAL,56.92
PF/C,Giannis Antetokounmpo (21603180),Giannis Antetokounmpo,21603180,PF/C/F/UTIL,12000,ATL@MIL 03/09/2022 08:00PM ET,MIL,57.97
SF,LeBron James (21603184),LeBron James,21603184,SF/F/UTIL,11600,LAL@HOU 03/09/2022 08:00PM ET,LAL,54.26
PG,Dejounte Murray (21603187),Dejounte Murray,21603187,PG/G/UTIL,11300,TOR@SAS 03/09/2022 08:30PM ET,SAS,50.64
C,Karl-Anthony Towns (21603190),Karl-Anthony Towns,21603190,C/UTIL,10800,OKC@MIN 03/09/2022 08:00PM ET,MIN,47.15
SF/PF,Jayson Tatum (21603192),Jayson Tatum,21603192,SF/PF/F/UTIL,10400,BOS@CHA 03/09/2022 07:00PM ET,BOS,46.79
PG,Trae Young (21603196),Trae Young,21603196,PG/G/UTIL,10300,ATL@MIL 03/09/2022 08:00PM ET,ATL,48.97
PG,Shai Gilgeous-Alexander (21603199),Shai Gilgeous-Alexander,21603199,PG/G/UTIL,10200,OKC@MIN 03/09/2022 08:00PM ET,OKC,42.86
PF,Julius Randle (21603202),Julius Randle,21603202,PF/F/UTIL,10100,NYK@DAL 03/09/2022 08:30PM ET,NYK,42.70
PF,Kawhi Leonard (21603205),Kawhi Leonard,21603205,PF/F/UTIL,9900,WAS@LAC 03/09/2022 10:30PM ET,LAC,0
PF,DeMar DeRozan (21603208),DeMar DeRozan,21603208,PF/F/UTIL,9800,CHI@DET 03/09/2022 07:00PM ET,CHI,44.19
C,Anthony Davis (21603211),Anthony Davis,21603211,C/UTIL,9600,LAL@HOU 03/09/2022 08:00PM ET,LAL,46.51
PF/C,Pascal Siakam (21603213),Pascal Siakam,21603213,PF/C/F/UTIL,9500,TOR@SAS 03/09/2022 08:30PM ET,TOR,43.17
C,Domantas Sabonis (21603217),Domantas Sabonis,21603217,C/UTIL,9400,DEN@SAC 03/09/2022 10:00PM ET,SAC,44.52
