PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Serge Ibaka(21591220),Jonas Valanciunas(21590872),Jrue Holiday(21590869),Khris Middleton(21590874),Bobby Portis(21590923),49800.0,237.65
Cameron Payne(21591011),Devin Booker(21590821),Aaron Wiggins(21591232),Herbert Jones(21591060),Nicolas Batum(21591157),CJ McCollum(21590811),Khris Middleton(21590874),Jrue Holiday(21590869),49900.0,235.25
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Herbert Jones(21591060),PJ Washington(21590992),Cole Anthony(21590894),Khris Middleton(21590874),Jrue Holiday(21590869),49500.0,231.91
Cameron Payne(21591011),CJ McCollum(21590811),Herbert Jones(21591060),PJ Washington(21590992),Jonas Valanciunas(21590872),Cole Anthony(21590894),Aaron Wiggins(21591232),Jrue Holiday(21590869),49600.0,233.37
Cameron Payne(21591011),CJ McCollum(21590811),Jae Crowder(21591032),Herbert Jones(21591060),Bobby Portis(21590923),LaMelo Ball(21590829),Aaron Wiggins(21591232),Jrue Holiday(21590869),49900.0,234.7
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Jae Crowder(21591032),PJ Washington(21590992),Cole Anthony(21590894),Khris Middleton(21590874),Jrue Holiday(21590869),50000.0,232.81
Cameron Payne(21591011),CJ McCollum(21590811),Herbert Jones(21591060),PJ Washington(21590992),Bobby Portis(21590923),LaMelo Ball(21590829),Aaron Wiggins(21591232),Khris Middleton(21590874),50000.0,234.58
Cameron Payne(21591011),CJ McCollum(21590811),Herbert Jones(21591060),Jaxson Hayes(21591041),Jonas Valanciunas(21590872),Aaron Wiggins(21591232),Khris Middleton(21590874),Jrue Holiday(21590869),49800.0,228.53
Cameron Payne(21591011),Devin Booker(21590821),Aaron Wiggins(21591232),Herbert Jones(21591060),Jonas Valanciunas(21590872),CJ McCollum(21590811),Grayson Allen(21591168),Jrue Holiday(21590869),49900.0,237.49
Cameron Payne(21591011),CJ McCollum(21590811),Jae Crowder(21591032),Herbert Jones(21591060),Jonas Valanciunas(21590872),Aaron Wiggins(21591232),Khris Middleton(21590874),Jrue Holiday(21590869),49900.0,234.64
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Herbert Jones(21591060),Nicolas Batum(21591157),LaMelo Ball(21590829),Khris Middleton(21590874),Jrue Holiday(21590869),49700.0,236.6
Cameron Payne(21591011),Devin Booker(21590821),Herbert Jones(21591060),Nicolas Batum(21591157),Jonas Valanciunas(21590872),CJ McCollum(21590811),Aaron Wiggins(21591232),Jrue Holiday(21590869),50000.0,236.71
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Jae Crowder(21591032),PJ Washington(21590992),Cole Anthony(21590894),Khris Middleton(21590874),Jrue Holiday(21590869),50000.0,232.81
Cameron Payne(21591011),CJ McCollum(21590811),Herbert Jones(21591060),Jaxson Hayes(21591041),Jonas Valanciunas(21590872),Aaron Wiggins(21591232),Khris Middleton(21590874),Jrue Holiday(21590869),49800.0,228.53
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Herbert Jones(21591060),PJ Washington(21590992),Cole Anthony(21590894),Khris Middleton(21590874),Jrue Holiday(21590869),49500.0,231.91
Cameron Payne(21591011),CJ McCollum(21590811),Jae Crowder(21591032),Herbert Jones(21591060),Bobby Portis(21590923),LaMelo Ball(21590829),Aaron Wiggins(21591232),Jrue Holiday(21590869),49900.0,234.7
Cameron Payne(21591011),CJ McCollum(21590811),Herbert Jones(21591060),PJ Washington(21590992),Jonas Valanciunas(21590872),Cole Anthony(21590894),Aaron Wiggins(21591232),Jrue Holiday(21590869),49600.0,233.37
Cameron Payne(21591011),CJ McCollum(21590811),Aaron Wiggins(21591232),Herbert Jones(21591060),Nicolas Batum(21591157),LaMelo Ball(21590829),Khris Middleton(21590874),Jrue Holiday(21590869),49700.0,236.6
